CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,PrimaryCollisionFactor_Code,CollisionType_Code,Distance,CrashTime
591254,CR-0000048240,0,0,0,0,5,5,20.0,10
591255,CR-0000070843,0,0,0,0,5,1,96.0,3
591256,CR-0000067632,1,0,0,0,5,1,40.0,10
591257,CR-0000067592,0,0,0,0,5,2,0.0,14
591258,CR-0000067603,0,0,0,0,5,2,18.0,10
591259,CR-0000060864,0,0,0,0,5,2,0.0,23
591260,CR-0000060501,1,0,0,0,5,0,0.0,15
591261,CR-0000078858,0,0,0,0,5,2,33.0,20
591262,CR-0000073274,0,1,0,0,5,2,0.0,11
591263,CR-0000061044,0,0,0,0,5,1,0.0,8
591264,CR-0000072018,0,4,0,0,5,2,0.0,16
591265,CR-0000077414,0,0,0,0,5,2,33.0,18
591266,CR-0000075768,0,1,0,0,5,3,266.0,16
591267,CR-0000053795,0,0,0,0,4,3,0.0,9
591268,CR-0000053613,0,0,0,0,4,3,0.0,9
591269,CR-0000053612,0,0,0,0,4,0,0.0,15
591270,CR-0000045227,0,1,0,0,5,1,36.0,20
591271,CR-0000052896,0,0,0,0,5,3,0.0,19
591272,CR-0000052873,0,0,0,0,5,0,0.0,1
591273,CR-0000056332,0,2,0,0,5,0,0.0,9
591274,CR-0000072329,0,0,0,0,5,2,72.0,14
591275,CR-0000072548,1,0,0,0,5,2,0.0,11
591276,CR-0000072121,2,0,0,0,1,1,0.0,22
591277,CR-0000070829,0,0,0,0,5,0,0.0,12
591278,CR-0000070781,0,0,0,0,5,0,0.0,10
591279,CR-0000070816,0,0,0,0,5,1,241.0,3
591280,CR-0000070811,0,1,0,0,4,7,0.0,6
591281,CR-0000070770,0,0,0,0,5,6,145.0,13
591282,CR-0000070731,0,0,0,0,5,6,40.0,11
591283,CR-0000070673,0,0,0,0,6,0,0.0,18
591284,CR-0000070713,0,0,0,0,5,5,50.0,16
591285,CR-0000062167,1,0,0,0,5,6,174.0,0
591286,CR-0000046271,4,0,0,0,5,3,0.0,2
591287,CR-0000046257,1,0,0,0,5,3,27.0,8
591288,CR-0000057691,0,1,0,0,5,7,0.0,12
591289,CR-0000062114,0,0,0,0,5,1,40.0,2
591290,CR-0000061944,0,0,0,0,5,1,75.0,18
591291,CR-0000062186,0,0,0,0,5,2,0.0,0
