PartyType_Code,Sobriety_Code,Age,PrimaryCollisionFactor_Code,CollisionType_Code,VehicleDamage_Code,MovementPrecedingCollision_Code,ViolationCode,CrashTime,Distance
3,4,18,5,5,3,0,22350,3,0.0
3,2,0,4,1,1,2,21453,18,0.0
3,1,29,5,1,3,0,22350,14,10.0
3,0,0,5,3,1,10,0,1,245.0
3,1,58,5,0,3,0,0,11,205.0
3,2,0,4,5,5,0,0,12,0.0
3,2,24,5,0,2,0,21806,7,0.0
3,1,47,5,3,5,0,0,14,0.0
3,1,23,0,7,2,10,0,19,0.0
3,1,49,0,3,1,8,0,15,0.0
3,0,0,5,1,5,10,0,0,162.0
3,2,0,4,5,5,0,0,19,0.0
3,2,0,4,5,5,8,0,12,0.0
3,1,27,5,0,3,0,21453,22,0.0
3,0,0,5,3,3,10,0,11,120.0
3,2,25,5,0,1,0,0,12,0.0
3,5,0,5,0,3,0,21453,14,0.0
3,1,17,5,0,1,0,0,15,120.0
3,7,25,5,1,3,0,22350,20,0.0
3,1,60,5,0,1,0,0,10,0.0
18,2,0,4,5,5,0,0,20,51.0
3,1,36,5,0,1,0,0,9,0.0
3,0,0,5,6,3,10,0,23,51.0
3,1,42,5,5,5,2,0,13,0.0
10,1,73,5,8,5,10,0,21,26.0
3,2,38,4,5,5,10,0,0,0.0
0,2,37,5,7,5,0,0,16,32.0
3,1,23,5,5,2,0,22350,13,142.0
3,0,0,5,5,3,10,0,15,75.0
3,1,30,5,0,1,1,0,16,0.0
3,1,34,5,3,3,10,0,12,65.0
3,0,0,5,6,5,10,0,18,60.0
3,1,66,6,0,1,0,21800,14,0.0
3,2,26,5,6,1,0,0,0,0.0
3,1,24,5,5,3,0,0,19,102.0
3,2,0,5,5,5,0,0,14,0.0
3,2,30,5,0,2,0,0,16,0.0
3,0,0,5,2,1,10,0,2,56.0
3,1,24,5,1,1,10,12500,16,0.0
3,1,66,5,0,3,0,21453,17,0.0
3,2,42,5,0,1,0,21453,18,0.0
3,0,0,5,6,2,10,0,2,212.0
3,1,60,5,5,2,0,0,15,205.0
3,1,38,5,5,2,0,22350,8,33.0
3,1,42,4,1,5,0,0,14,0.0
3,2,81,4,7,5,0,0,7,0.0
3,1,56,2,2,2,10,0,9,0.0
3,1,25,5,5,2,8,12500,14,0.0
3,1,57,4,0,5,0,21453,17,0.0
3,2,0,4,5,2,1,0,21,0.0
3,1,32,5,0,3,0,0,11,210.0
3,7,27,5,2,3,0,23152,21,50.0
3,1,39,5,0,3,2,22450,21,0.0
3,1,84,5,5,2,0,21703,17,236.0
3,1,39,3,3,1,0,0,20,0.0
3,1,39,5,5,2,0,21658,15,99.0
3,1,19,5,1,5,2,21801,15,15.0
3,2,0,5,5,5,0,22350,22,28.0
3,1,61,5,5,2,8,0,19,0.0
3,1,25,5,1,5,2,12500,19,0.0
1,1,57,5,3,1,2,22100,14,0.0
3,1,35,5,5,3,1,22107,23,92.0
3,1,19,5,3,3,1,22350,23,0.0
3,1,18,5,6,5,5,0,18,97.0
3,2,0,4,5,5,0,0,11,0.0
3,1,46,5,0,5,0,22450,12,0.0
18,2,0,4,3,5,10,0,7,102.0
3,1,0,5,3,5,8,0,13,20.0
3,2,0,5,2,3,10,22350,14,65.0
3,1,18,5,5,3,0,22350,15,54.0
18,2,0,5,6,5,1,22107,15,22.0
3,2,46,4,3,5,0,0,18,0.0
3,2,0,5,3,5,8,0,19,66.0
3,2,58,4,0,5,8,0,16,0.0
3,0,0,4,5,5,10,0,22,51.0
3,2,29,4,0,5,0,0,12,0.0
3,2,0,5,5,3,0,22350,21,360.0
3,0,0,5,6,2,10,0,13,19.0
8,1,28,5,0,3,2,0,8,0.0
18,2,0,5,6,5,0,22350,0,159.0
3,1,48,4,0,3,2,0,16,0.0
3,1,57,5,3,3,0,22107,10,0.0
3,0,0,5,1,3,10,0,18,81.0
3,1,49,5,6,2,8,0,0,0.0
3,2,64,5,0,2,10,21460,20,218.0
3,0,0,5,3,3,10,0,3,357.0
3,2,64,0,7,1,0,0,15,0.0
3,1,23,5,5,2,0,22350,14,89.0
10,2,42,3,3,5,10,21954,19,115.0
3,6,18,5,2,3,0,22350,23,170.0
0,1,46,5,7,5,0,0,20,0.0
9,2,42,4,0,5,0,0,16,0.0
3,1,54,5,0,1,0,0,8,0.0
3,2,31,4,5,5,0,0,15,60.0
3,2,24,5,6,1,0,0,14,284.0
3,0,0,5,5,1,10,0,7,102.0
3,0,0,5,5,2,10,0,20,26.0
3,0,0,5,0,1,10,0,22,0.0
3,1,47,5,5,1,2,0,12,0.0
3,2,23,5,5,1,8,0,15,51.0
3,0,0,5,0,5,10,0,12,196.0
3,0,0,5,3,1,10,0,20,255.0
3,1,43,4,3,5,3,0,19,220.0
9,1,17,5,2,3,0,22107,23,100.0
3,2,22,4,5,1,0,0,16,0.0
3,0,0,4,6,2,10,0,21,100.0
3,2,0,5,3,5,5,22107,9,0.0
3,2,0,5,0,1,10,22107,17,18.0
3,1,0,5,0,3,0,0,22,0.0
3,2,32,0,0,5,1,0,16,738.0
3,0,0,5,6,1,10,0,20,190.0
3,2,0,5,0,5,0,21453,12,0.0
3,1,29,5,6,2,0,0,19,0.0
3,7,22,5,2,3,10,23153,20,930.0
17,0,0,5,5,1,10,0,11,45.0
3,3,18,4,3,3,10,22107,11,110.0
3,2,0,5,5,5,0,21658,21,150.0
3,2,0,0,7,5,0,0,16,359.0
3,1,52,4,8,5,0,0,14,167.0
3,2,59,5,5,1,1,0,0,8.0
3,7,26,5,3,2,10,23152,0,12.0
3,1,59,5,0,4,0,0,18,0.0
18,2,0,4,0,5,0,0,19,0.0
3,2,0,4,3,5,1,0,8,0.0
18,2,0,4,6,5,10,0,4,272.0
9,2,30,4,0,5,2,0,20,0.0
3,1,50,5,3,2,0,22107,21,100.0
18,2,0,4,3,5,10,0,12,0.0
3,2,0,5,6,3,1,22350,7,107.0
3,1,23,5,5,2,10,0,16,0.0
3,1,44,5,5,1,8,0,18,194.0
10,1,17,5,3,5,0,0,7,0.0
3,2,59,4,6,5,10,0,15,51.0
3,1,18,4,3,3,10,0,22,1320.0
0,2,32,5,7,5,0,0,9,0.0
3,1,19,5,5,5,8,0,13,0.0
3,1,28,5,5,1,8,0,16,127.0
3,0,0,5,1,1,10,0,23,331.0
